"DateTime";"Players"
"2023-10-08 12:10:00";42573
"2023-10-08 12:20:00";43033
"2023-10-08 12:30:00";42937
"2023-10-08 12:40:00";43051
"2023-10-08 12:50:00";43167
"2023-10-08 13:00:00";43587
"2023-10-08 13:10:00";43594
"2023-10-08 13:20:00";43879
"2023-10-08 13:30:00";44670
"2023-10-08 13:40:00";45298
"2023-10-08 13:50:00";46509
"2023-10-08 14:00:00";47125
"2023-10-08 14:10:00";47404
"2023-10-08 14:20:00";46813
"2023-10-08 14:30:00";46851
"2023-10-08 14:40:00";47571
"2023-10-08 14:50:00";47924
"2023-10-08 15:00:00";48428
"2023-10-08 15:10:00";49162
"2023-10-08 15:20:00";48906
"2023-10-08 15:30:00";48418
"2023-10-08 15:40:00";48480
"2023-10-08 15:50:00";48602
"2023-10-08 16:00:00";49102
"2023-10-08 16:10:00";48750
"2023-10-08 16:20:00";48962
"2023-10-08 16:30:00";49056
"2023-10-08 16:40:00";49273
"2023-10-08 16:50:00";48969
"2023-10-08 17:00:00";49138
"2023-10-08 17:10:00";49362
"2023-10-08 17:20:00";49041
"2023-10-08 17:30:00";49048
"2023-10-08 17:40:00";49070
"2023-10-08 17:50:00";49193
"2023-10-08 18:00:00";49443
"2023-10-08 18:10:00";49349
"2023-10-08 18:20:00";49379
"2023-10-08 18:30:00";49283
"2023-10-08 18:40:00";49609
"2023-10-08 18:50:00";49790
"2023-10-08 19:00:00";49803
"2023-10-08 19:10:00";49571
"2023-10-08 19:20:00";48575
"2023-10-08 19:30:00";48133
"2023-10-08 19:40:00";47449
"2023-10-08 19:50:00";47224
"2023-10-08 20:00:00";47184
"2023-10-08 20:10:00";46786
"2023-10-08 20:20:00";46505
"2023-10-08 20:30:00";46400
"2023-10-08 20:40:00";45730
"2023-10-08 20:50:00";45015
"2023-10-08 21:00:00";44569
"2023-10-08 21:10:00";44039
"2023-10-08 21:20:00";43573
"2023-10-08 21:30:00";43075
"2023-10-08 21:40:00";42716
"2023-10-08 21:50:00";42282
"2023-10-08 22:00:00";42153
"2023-10-08 22:10:00";41309
"2023-10-08 22:20:00";40463
"2023-10-08 22:30:00";39741
"2023-10-08 22:40:00";38839
"2023-10-08 22:50:00";38281
"2023-10-08 23:00:00";38167
"2023-10-08 23:10:00";37722
"2023-10-08 23:20:00";37004
"2023-10-08 23:30:00";36705
"2023-10-08 23:40:00";36527
"2023-10-08 23:50:00";36742
"2023-10-09 00:00:00";36820
"2023-10-09 00:10:00";36267
"2023-10-09 00:20:00";35785
"2023-10-09 00:30:00";35552
"2023-10-09 00:40:00";35447
"2023-10-09 00:50:00";35473
"2023-10-09 01:00:00";35662
"2023-10-09 01:10:00";35491
"2023-10-09 01:20:00";34942
"2023-10-09 01:30:00";35113
"2023-10-09 01:40:00";34975
"2023-10-09 01:50:00";35355
"2023-10-09 02:00:00";35326
"2023-10-09 02:10:00";35074
"2023-10-09 02:20:00";34781
"2023-10-09 02:30:00";34858
"2023-10-09 02:40:00";34711
"2023-10-09 02:50:00";34846
"2023-10-09 03:00:00";34948
"2023-10-09 03:10:00";34751
"2023-10-09 03:20:00";34447
"2023-10-09 03:30:00";34368
"2023-10-09 03:40:00";33974
"2023-10-09 03:50:00";33623
"2023-10-09 04:00:00";33569
"2023-10-09 04:10:00";32669
"2023-10-09 04:20:00";32003
"2023-10-09 04:30:00";31594
"2023-10-09 04:40:00";31329
"2023-10-09 04:50:00";30988
"2023-10-09 05:00:00";30651
"2023-10-09 05:10:00";29974
"2023-10-09 05:20:00";29953
"2023-10-09 05:30:00";29746
"2023-10-09 05:40:00";29603
"2023-10-09 05:50:00";29352
"2023-10-09 06:00:00";29236
"2023-10-09 06:10:00";28647
"2023-10-09 06:20:00";28329
"2023-10-09 06:30:00";28003
